"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1_1_20260502","1","1","1","1","0","0","0","20260502","20260723"
"1_2_20260502","0","0","0","0","0","1","0","20260502","20260723"
"1_3_20260502","0","0","0","0","0","0","1","20260502","20260723"
"1_11_20260502","0","0","0","0","1","0","0","20260502","20260723"
"1_1_20260724","1","1","1","1","0","0","0","20260724","20261025"
"1_2_20260724","0","0","0","0","0","1","0","20260724","20261025"
"1_3_20260724","0","0","0","0","0","0","1","20260724","20261025"
"1_11_20260724","0","0","0","0","1","0","0","20260724","20261025"
