"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"2_2061_2_20250801","1_1_20250801","1_1189_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_400_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_401_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_591_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_685_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_403_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_402_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_2_20250801","2_404_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1561_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1560_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1562_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1563_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1820_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1564_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_3_20250801","3_1565_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_11_20250801","11_15_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_11_20250801","11_16_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_11_20250801","11_338_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_11_20250801","11_17_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_11_20250801","11_341_20250801","甲佐",,,,,,,"1"
"2_2061_2_20250801","1_11_20250801","11_18_20250801","甲佐",,,,,,,"1"
"2_2062_1_20250801","1_1_20250801","1_1380_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_1_20250801","1_1506_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_1_20250801","1_1194_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_1_20250801","1_1195_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_1_20250801","1_1493_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_2_20250801","2_557_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_2_20250801","2_393_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_2_20250801","2_684_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_2_20250801","2_394_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_2_20250801","2_395_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_2_20250801","2_396_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_2_20250801","2_397_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_2_20250801","2_398_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_2_20250801","2_399_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_3_20250801","3_1762_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_3_20250801","3_1556_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_3_20250801","3_1557_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_3_20250801","3_1558_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_3_20250801","3_1559_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_11_20250801","11_212_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_11_20250801","11_339_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_11_20250801","11_23_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_11_20250801","11_24_20250801","桜町バスターミナル",,,,,,,"1"
"2_2062_1_20250801","1_11_20250801","11_326_20250801","桜町バスターミナル",,,,,,,"1"
"2_2321_2_20250801","1_1_20250801","1_1436_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_1_20250801","1_1190_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_1_20250801","1_1191_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_1_20250801","1_1437_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_2_20250801","2_390_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_2_20250801","2_642_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_2_20250801","2_644_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_2_20250801","2_391_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_2_20250801","2_577_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_2_20250801","2_392_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_3_20250801","3_1553_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_3_20250801","3_1554_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_3_20250801","3_1555_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_11_20250801","11_269_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_11_20250801","11_19_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_11_20250801","11_20_20250801","砥用・学校前",,,,,,,"1"
"2_2321_2_20250801","1_11_20250801","11_270_20250801","砥用・学校前",,,,,,,"1"
"2_2322_1_20250801","1_1_20250801","1_1196_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_1_20250801","1_1439_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_1_20250801","1_1438_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_1_20250801","1_1443_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_1_20250801","1_1435_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_2_20250801","2_388_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_2_20250801","2_641_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_2_20250801","2_389_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_3_20250801","3_1550_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_3_20250801","3_1551_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_3_20250801","3_1552_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_11_20250801","11_25_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_11_20250801","11_272_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_11_20250801","11_271_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_11_20250801","11_276_20250801","桜町バスターミナル",,,,,,,"1"
"2_2322_1_20250801","1_11_20250801","11_268_20250801","桜町バスターミナル",,,,,,,"1"
"2_2421_2_20250801","1_1_20250801","1_1192_20250801","浜町",,,,,,,"1"
"2_2421_2_20250801","1_1_20250801","1_1193_20250801","浜町",,,,,,,"1"
"2_2421_2_20250801","1_1_20250801","1_1442_20250801","浜町",,,,,,,"1"
"2_2421_2_20250801","1_11_20250801","11_21_20250801","浜町",,,,,,,"1"
"2_2421_2_20250801","1_11_20250801","11_22_20250801","浜町",,,,,,,"1"
"2_2421_2_20250801","1_11_20250801","11_275_20250801","浜町",,,,,,,"1"
"2_2422_1_20250801","1_1_20250801","1_1197_20250801","桜町バスターミナル",,,,,,,"1"
"2_2422_1_20250801","1_1_20250801","1_1441_20250801","桜町バスターミナル",,,,,,,"1"
"2_2422_1_20250801","1_11_20250801","11_26_20250801","桜町バスターミナル",,,,,,,"1"
"2_2422_1_20250801","1_11_20250801","11_274_20250801","桜町バスターミナル",,,,,,,"1"
"2_32023_2_20250801","1_1_20250801","1_1379_20250801","甲佐",,,,,,,"1"
"2_32023_2_20250801","1_11_20250801","11_211_20250801","甲佐",,,,,,,"1"
"3_3043_2_20250801","1_1_20250801","1_1198_20250801","甲佐",,,,,,,"1"
"3_3043_2_20250801","1_1_20250801","1_1199_20250801","甲佐",,,,,,,"1"
"3_3043_2_20250801","1_1_20250801","1_1200_20250801","甲佐",,,,,,,"1"
"3_3043_2_20250801","1_1_20250801","1_1201_20250801","甲佐",,,,,,,"1"
"3_3043_2_20250801","1_1_20250801","1_1204_20250801","甲佐",,,,,,,"1"
"3_3043_2_20250801","1_1_20250801","1_1205_20250801","甲佐",,,,,,,"1"
